"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"35","1111.4545v1","2011-11-19 09:40:04","2011-11-19 09:40:04","Grid Security and Integration with Minimal Performance Degradation","  Computational grids are believed to be the ultimate framework to meet the
growing computational needs of the scientific community. Here, the processing
power of geographically distributed resources working under different
ownerships, having their own access policy, cost structure and the likes, is
logically coupled to make them perform as a unified resource. The continuous
increase of availability of high-bandwidth communication as well as powerful
computers built of low-cost components further enhance chances of computational
grids becoming a reality. However, the question of grid security remains one of
the important open research issues. Here, we present some novel ideas about how
to implement grid security, without appreciable performance degradation in
grids. A suitable alternative to the computationally expensive encryption is
suggested, which uses a key for message authentication. Methods of secure
transfer and exchange of the required key(s) are also discussed.
","Sugata Sanyal|Rangarajan A. Vasudevan|Ajith Abraham|Marcin Paprzycki","","http://arxiv.org/abs/1111.4545v1","http://arxiv.org/pdf/1111.4545v1","","8 Pages, 1 Figure","Journal of Digital Information Management, Vol. 2, Issue 2,
  September, 2004","","cs.CR","cs.CR"
"36","1202.1163v2","2012-02-06 15:10:34","2012-02-27 13:04:55","D-iteration method or how to improve Gauss-Seidel method","  The aim of this paper is to present the recently proposed fluid diffusion
based algorithm in the general context of the matrix inversion problem
associated to the Gauss-Seidel method. We explain the simple intuitions that
are behind this diffusion method and how it can outperform existing methods.
Then we present some theoretical problems that are associated to this
representation as open research problems. We also illustrate some connected
problems such as the graph transformation and the PageRank problem.
","Dohy Hong","","http://arxiv.org/abs/1202.1163v2","http://arxiv.org/pdf/1202.1163v2","","7 pages","","","math.NA","math.NA|cs.DM|G.1.3; G.2.2"
"37","1206.5144v1","2012-06-22 13:26:02","2012-06-22 13:26:02","Signal Processing and Optimal Resource Allocation for the Interference
  Channel","  In this article, we examine several design and complexity aspects of the
optimal physical layer resource allocation problem for a generic interference
channel (IC). The latter is a natural model for multi-user communication
networks. In particular, we characterize the computational complexity, the
convexity as well as the duality of the optimal resource allocation problem.
Moreover, we summarize various existing algorithms for resource allocation and
discuss their complexity and performance tradeoff. We also mention various open
research problems throughout the article.
","Mingyi Hong|Zhi-Quan Luo","","http://arxiv.org/abs/1206.5144v1","http://arxiv.org/pdf/1206.5144v1","","To appear in E-Reference Signal Processing, R. Chellapa and S.
  Theodoridis, Eds., Elsevier, 2013","","","cs.IT","cs.IT|math.IT"
"38","1207.1383v1","2012-07-04 16:12:21","2012-07-04 16:12:21","Bounding the Uncertainty of Graphical Games: The Complexity of Simple
  Requirements, Pareto and Strong Nash Equilibria","  We investigate the complexity of bounding the uncertainty of graphical games,
and we provide new insight into the intrinsic difficulty of computing Nash
equilibria. In particular, we show that, if one adds very simple and natural
additional requirements to a graphical game, the existence of Nash equilibria
is no longer guaranteed, and computing an equilibrium is an intractable
problem. Moreover, if stronger equilibrium conditions are required for the
game, we get hardness results for the second level of the polynomial hierarchy.
Our results offer a clear picture of the complexity of mixed Nash equilibria in
graphical games, and answer some open research questions posed by Conitzer and
Sandholm (2003).
","Gianluigi Greco|Francesco Scarcello","","http://arxiv.org/abs/1207.1383v1","http://arxiv.org/pdf/1207.1383v1","","Appears in Proceedings of the Twenty-First Conference on Uncertainty
  in Artificial Intelligence (UAI2005)","","","cs.GT","cs.GT"
"39","1207.2037v1","2012-07-09 13:19:20","2012-07-09 13:19:20","Seamless Infrastructure independent Multi Homed NEMO Handoff Using
  Effective and Timely IEEE 802.21 MIH triggers","  Handoff performance of NEMO BS protocol with existent improvement proposals
is still not sufficient for real time and QoS-sensitive applications and
further optimizations are needed. When dealing with single homed NEMO, handoff
latency and packet loss become irreducible all optimizations included, so that
it is impossible to meet requirements of the above applications. Then, How to
combine the different Fast handoff approaches remains an open research issue
and needs more investigation. In this paper, we propose a new Infrastructure
independent handoff approach combining multihoming and intelligent
Make-Before-Break Handoff. Based on required Handoff time estimation, L2 and L3
handoffs are initiated using effective and timely MIH triggers, reducing so the
anticipation time and increasing the probability of prediction. We extend MIH
services to provide tunnel establishment and switching before link break. Thus,
the handoff is performed in background with no latency and no packet loss while
pingpong scenario is almost avoided. In addition, our proposal saves cost and
power consumption by optimizing the time of simultaneous use of multiple
interfaces. We provide also NS2 simulation experiments identifying suitable
parameter values used for estimation and validating the proposed model
","Zohra Slimane|Mohamed Feham|Abdelhafid Abdelmalek","","http://arxiv.org/abs/1207.2037v1","http://arxiv.org/pdf/1207.2037v1","http://dx.doi.org/10.5121/ijwmn.2012.4308","","International Journal of Wireless & Mobile Networks (IJWMN)Vol. 4,
  No. 3, June 2012, 119-139","10.5121/ijwmn.2012.4308","cs.NI","cs.NI"
"40","1207.3812v1","2012-07-16 20:06:52","2012-07-16 20:06:52","How to Nurture Scientific Discoveries Despite Their Unpredictable Nature","  The history of science reveals that major discoveries are not predictable.
Naively, one might conclude therefore that it is not possible to artificially
cultivate an environment that promotes discoveries. I suggest instead that open
research without a programmatic agenda establishes a fertile ground for
unexpected breakthroughs. Contrary to current practice, funding agencies should
allocate a small fraction of their funds to support research in centers of
excellence without programmatic reins tied to specific goals.
","Abraham Loeb","Harvard","http://arxiv.org/abs/1207.3812v1","http://arxiv.org/pdf/1207.3812v1","","4 pages, submitted for publication","","","astro-ph.IM","astro-ph.IM|physics.hist-ph"
"41","1208.2080v1","2012-08-10 02:43:53","2012-08-10 02:43:53","Multi-GPU-based Swendsen-Wang multi-cluster algorithm for the simulation
  of two-dimensional q-state Potts model","  We present the multiple GPU computing with the common unified device
architecture (CUDA) for the Swendsen-Wang multi-cluster algorithm of
two-dimensional (2D) q-state Potts model. Extending our algorithm for single
GPU computing [Comp. Phys. Comm. 183 (2012) 1155], we realize the GPU
computation of the Swendsen-Wang multi-cluster algorithm for multiple GPUs. We
implement our code on the large-scale open science supercomputer TSUBAME 2.0,
and test the performance and the scalability of the simulation of the 2D Potts
model. The performance on Tesla M2050 using 256 GPUs is obtained as 37.3 spin
flips per a nano second for the q=2 Potts model (Ising model) at the critical
temperature with the linear system size L=65536.
","Yukihiro Komura|Yutaka Okabe","","http://arxiv.org/abs/1208.2080v1","http://arxiv.org/pdf/1208.2080v1","http://dx.doi.org/10.1016/j.cpc.2012.08.006","accepted for publication in Comp. Phys. Commun. arXiv admin note:
  substantial text overlap with arXiv:1202.0635","Computer Physics Communications 184 (2013) 40","10.1016/j.cpc.2012.08.006","physics.comp-ph","physics.comp-ph|cond-mat.stat-mech"
"42","1208.2351v1","2012-08-11 14:42:48","2012-08-11 14:42:48","A Comprehensive Survey of MAC Protocols for Wireless Body Area Networks","  In this paper, we present a comprehensive study of Medium Access Control
(MAC) protocols developed for Wireless Body Area Networks (WBANs). In WBANs,
small batteryoperated on-body or implanted biomedical sensor nodes are used to
monitor physiological signs such as temperature, blood pressure,
ElectroCardioGram (ECG), ElectroEncephaloGraphy (EEG) etc. We discuss design
requirements for WBANs with major sources of energy dissipation. Then, we
further investigate the existing designed protocols for WBANs with focus on
their strengths and weaknesses. Paper ends up with concluding remarks and open
research issues for future work.
","A. Rahim|N. Javaid|M. Aslam|Z. Rahman|U. Qasim|Z. A. Khan","","http://arxiv.org/abs/1208.2351v1","http://arxiv.org/pdf/1208.2351v1","http://dx.doi.org/10.1109/BWCCA.2012.77","BioSPAN-2012 with 7th IEEE International Conference on Broadband and
  Wireless Computing, Communication and Applications (BWCCA 2012), Victoria,
  Canada, 2012","","10.1109/BWCCA.2012.77","cs.NI","cs.NI"
"43","1208.4439v2","2012-08-22 07:53:28","2012-09-04 07:00:53","Radio Frequency Energy Harvesting and Management for Wireless Sensor
  Networks","  Radio Frequency (RF) Energy Harvesting holds a promising future for
generating a small amount of electrical power to drive partial circuits in
wirelessly communicating electronics devices. Reducing power consumption has
become a major challenge in wireless sensor networks. As a vital factor
affecting system cost and lifetime, energy consumption in wireless sensor
networks is an emerging and active research area. This chapter presents a
practical approach for RF Energy harvesting and management of the harvested and
available energy for wireless sensor networks using the Improved Energy
Efficient Ant Based Routing Algorithm (IEEABR) as our proposed algorithm. The
chapter looks at measurement of the RF power density, calculation of the
received power, storage of the harvested power, and management of the power in
wireless sensor networks. The routing uses IEEABR technique for energy
management. Practical and real-time implementations of the RF Energy using
Powercast harvesters and simulations using the energy model of our Libelium
Waspmote to verify the approach were performed. The chapter concludes with
performance analysis of the harvested energy, comparison of IEEABR and other
traditional energy management techniques, while also looking at open research
areas of energy harvesting and management for wireless sensor networks.
","A. M. Zungeru|Li-Minn Ang|S. R. S. Prabaharan|Kah Phooi Seng","","http://arxiv.org/abs/1208.4439v2","http://arxiv.org/pdf/1208.4439v2","http://dx.doi.org/10.1201/b10081-16","40 pages, 9 figures, 5 tables, Book chapter","Green Mobile Devices and Networks: Energy Optimization and
  Scavenging Techniques (CRC Press, Taylor and Francis Group, 2011) pp. 341-368","10.1201/b10081-16","cs.NI","cs.NI"
"44","1209.5654v2","2012-09-25 15:57:04","2016-09-30 09:59:59","Nonasymptotic analysis of adaptive and annealed Feynman-Kac particle
  models","  Sequential and quantum Monte Carlo methods, as well as genetic type search
algorithms can be interpreted as a mean field and interacting particle
approximations of Feynman-Kac models in distribution spaces. The performance of
these population Monte Carlo algorithms is strongly related to the stability
properties of nonlinear Feynman-Kac semigroups. In this paper, we analyze these
models in terms of Dobrushin ergodic coefficients of the reference Markov
transitions and the oscillations of the potential functions. Sufficient
conditions for uniform concentration inequalities w.r.t. time are expressed
explicitly in terms of these two quantities. We provide an original
perturbation analysis that applies to annealed and adaptive Feynman-Kac models,
yielding what seems to be the first results of this kind for these types of
models. Special attention is devoted to the particular case of Boltzmann-Gibbs
measures' sampling. In this context, we design an explicit way of tuning the
number of Markov chain Monte Carlo iterations with temperature schedule. We
also design an alternative interacting particle method based on an adaptive
strategy to define the temperature increments. The theoretical analysis of the
performance of this adaptive model is much more involved as both the potential
functions and the reference Markov transitions now depend on the random
evolution on the particle model. The nonasymptotic analysis of these complex
adaptive models is an open research problem. We initiate this study with the
concentration analysis of a simplified adaptive models based on reference
Markov transitions that coincide with the limiting quantities, as the number of
particles tends to infinity.
","François Giraud|Pierre Del Moral","","http://arxiv.org/abs/1209.5654v2","http://arxiv.org/pdf/1209.5654v2","http://dx.doi.org/10.3150/14-BEJ680","Published at http://dx.doi.org/10.3150/14-BEJ680 in the Bernoulli
  (http://isi.cbs.nl/bernoulli/) by the International Statistical
  Institute/Bernoulli Society (http://isi.cbs.nl/BS/bshome.htm)","Bernoulli 2017, Vol. 23, No. 1, 670-709","10.3150/14-BEJ680","math.PR","math.PR|math.ST|stat.TH"
"45","1210.0713v1","2012-10-02 09:32:54","2012-10-02 09:32:54","Open Science Project in White Dwarf Research","  I will propose a new way of advancing white dwarf research. Open science is a
method of doing research that lets everyone who has something to say about the
subject take part in the problem solving process.
  Already now, the amount of information we gather from observations, theory
and modelling is too vast for any one individual to comprehend and turn into
knowledge. And the amount of information just keeps growing in the future. A
platform that promotes sharing of thoughts and ideas allows us to pool our
collective knowledge of white dwarfs and get a clear picture of our research
field. It will also make it possible for researchers in fields closely related
to ours (AGB stars, planetary nebulae etc.) to join the scientific discourse.
  In the first stage this project would allow us to summarize what we know and
what we don't, and what we should search for next. Later, it could grow into a
large collaboration that would have the impact to, for example, suggest
instrument requirements for future telescopes to satisfy the needs of the white
dwarf community, or propose large surveys.
  A simple implementation would be a wiki page for collecting knowledge
combined with a forum for more extensive discussions. These would be simple and
cheap to maintain. A large community effort on the whole would be needed for
the project to succeed, but individual workload should stay at a low level.
","Tommi Vornanen","","http://arxiv.org/abs/1210.0713v1","http://arxiv.org/pdf/1210.0713v1","","To be published in the proceedings of the 18th European White Dwarf
  Workshop. 4 pages","","","astro-ph.IM","astro-ph.IM|astro-ph.SR|cs.DL"
"46","1210.4820v6","2012-10-17 18:56:28","2015-02-16 17:21:48","Whole Genome Sequencing: Innovation Dream or Privacy Nightmare?","  Over the past several years, DNA sequencing has emerged as one of the driving
forces in life-sciences, paving the way for affordable and accurate whole
genome sequencing. As genomes represent the entirety of an organism's
hereditary information, the availability of complete human genomes prompts a
wide range of revolutionary applications. The hope for improving modern
healthcare and better understanding the human genome propels many interesting
and challenging research frontiers. Unfortunately, however, the proliferation
of human genomes amplifies worrisome privacy concerns, since a genome
represents a treasure trove of highly personal and sensitive information. In
this article, we provide an overview of positive results and biomedical
advances in the field, and discuss privacy issues associated with human genomic
information. Finally, we survey available privacy-enhancing technologies and
list a number of open research challenges.
","Emiliano De Cristofaro","","http://arxiv.org/abs/1210.4820v6","http://arxiv.org/pdf/1210.4820v6","","This version is superseded by arXiv:1306.1264","","","cs.CR","cs.CR|cs.ET|q-bio.GN"
"47","1210.4981v1","2012-10-17 22:44:07","2012-10-17 22:44:07","Foundations and Tools for End-User Architecting","  Within an increasing number of domains an important emerging need is the
ability for technically naive users to compose computational elements into
novel configurations. Examples include astronomers who create new analysis
pipelines to process telescopic data, intelligence analysts who must process
diverse sources of unstructured text to discover socio-technical trends, and
medical researchers who have to process brain image data in new ways to
understand disease pathways. Creating such compositions today typically
requires low-level technical expertise, limiting the use of computational
methods and increasing the cost of using them. In this paper we describe an
approach - which we term end-user architecting - that exploits the similarity
between such compositional activities and those of software architects. Drawing
on the rich heritage of software architecture languages, methods, and tools, we
show how those techniques can be adapted to support end users in composing rich
computational systems through domain-specific compositional paradigms and
component repositories, without requiring that they have knowledge of the
low-level implementation details of the components or the compositional
infrastructure. Further, we outline a set of open research challenges that the
area of end-user architecting raises.
","David Garlan|Vishal Dwivedi|Ivan Ruchkin|Bradley Schmerl","","http://arxiv.org/abs/1210.4981v1","http://arxiv.org/pdf/1210.4981v1","http://dx.doi.org/10.1007/978-3-642-34059-8_9","","Large-Scale Complex IT Systems. Development, Operation and
  Management. Lecture Notes in Computer Science, 2012, Volume 7539/2012,
  157-182","10.1007/978-3-642-34059-8_9","cs.SE","cs.SE|cs.HC|cs.SI|D.2.11; H.5.2"
"48","1210.6116v1","2012-10-23 03:24:48","2012-10-23 03:24:48","Large-scale Monte Carlo simulation of two-dimensional classical XY model
  using multiple GPUs","  We study the two-dimensional classical XY model by the large-scale Monte
Carlo simulation of the Swendsen-Wang multi-cluster algorithm using multiple
GPUs on the open science supercomputer TSUBAME 2.0. Simulating systems up to
the linear system size L=65536, we investigate the Kosterlitz-Thouless (KT)
transition. Using the generalized version of the probability-changing cluster
algorithm based on the helicity modulus, we locate the KT transition
temperature in a self-adapted way. The obtained inverse KT temperature
\beta_{KT} is 1.11996(6). We estimate the exponent to specify the
multiplicative logarithmic correction, -2r, and precisely reproduce the
theoretical prediction -2r=1/8.
","Yukihiro Komura|Yutaka Okabe","","http://arxiv.org/abs/1210.6116v1","http://arxiv.org/pdf/1210.6116v1","http://dx.doi.org/10.1143/JPSJ.81.113001","","J. Phys. Soc. Jpn. 81 (2012) 113001","10.1143/JPSJ.81.113001","cond-mat.stat-mech","cond-mat.stat-mech"
"49","1211.6675v1","2012-11-28 17:39:16","2012-11-28 17:39:16","Nonlinear Dynamic Field Embedding: On Hyperspectral Scene Visualization","  Graph embedding techniques are useful to characterize spectral signature
relations for hyperspectral images. However, such images consists of disjoint
classes due to spatial details that are often ignored by existing graph
computing tools. Robust parameter estimation is a challenge for kernel
functions that compute such graphs. Finding a corresponding high quality
coordinate system to map signature relations remains an open research question.
We answer positively on these challenges by first proposing a kernel function
of spatial and spectral information in computing neighborhood graphs. Secondly,
the study exploits the force field interpretation from mechanics and devise a
unifying nonlinear graph embedding framework. The generalized framework leads
to novel unsupervised multidimensional artificial field embedding techniques
that rely on the simple additive assumption of pair-dependent attraction and
repulsion functions. The formulations capture long range and short range
distance related effects often associated with living organisms and help to
establish algorithmic properties that mimic mutual behavior for the purpose of
dimensionality reduction. The main benefits from the proposed models includes
the ability to preserve the local topology of data and produce quality
visualizations i.e. maintaining disjoint meaningful neighborhoods. As part of
evaluation, visualization, gradient field trajectories, and semisupervised
classification experiments are conducted for image scenes acquired by multiple
sensors at various spatial resolutions over different types of objects. The
results demonstrate the superiority of the proposed embedding framework over
various widely used methods.
","Dalton Lunga 'and' Okan Ersoy","","http://arxiv.org/abs/1211.6675v1","http://arxiv.org/pdf/1211.6675v1","","49 pages, 18 figures","","","cs.CV","cs.CV|cs.CE|stat.ML"
"50","1211.7102v1","2012-11-29 21:52:00","2012-11-29 21:52:00","SVD Based Image Processing Applications: State of The Art, Contributions
  and Research Challenges","  Singular Value Decomposition (SVD) has recently emerged as a new paradigm for
processing different types of images. SVD is an attractive algebraic transform
for image processing applications. The paper proposes an experimental survey
for the SVD as an efficient transform in image processing applications. Despite
the well-known fact that SVD offers attractive properties in imaging, the
exploring of using its properties in various image applications is currently at
its infancy. Since the SVD has many attractive properties have not been
utilized, this paper contributes in using these generous properties in newly
image applications and gives a highly recommendation for more research
challenges. In this paper, the SVD properties for images are experimentally
presented to be utilized in developing new SVD-based image processing
applications. The paper offers survey on the developed SVD based image
applications. The paper also proposes some new contributions that were
originated from SVD properties analysis in different image processing. The aim
of this paper is to provide a better understanding of the SVD in image
processing and identify important various applications and open research
directions in this increasingly important area; SVD based image processing in
the future research.
","Rowayda A. Sadek","","http://arxiv.org/abs/1211.7102v1","http://arxiv.org/pdf/1211.7102v1","","","(IJACSA) International Journal of Advanced Computer Science and
  Applications, Vol. 3, No. 7, 2012 26-34","","cs.CV","cs.CV|cs.MM"
"51","1301.7190v1","2013-01-30 10:40:21","2013-01-30 10:40:21","A Domain Specific Language for kinematic models and fast implementations
  of robot dynamics algorithms","  Rigid body dynamics algorithms play a crucial role in several components of a
robot controller and simulations. Real time constraints in high frequency
control loops and time requirements of specific applications demand these
functions to be very efficient. Despite the availability of established
algorithms, their efficient implementation for a specific robot still is a
tedious and error-prone task. However, these components are simply necessary to
get high performance controllers.
  To achieve efficient yet well maintainable implementations of dynamics
algorithms we propose to use a domain specific language to describe the
kinematics/dynamics model of a robot. Since the algorithms are parameterized on
this model, executable code tailored for a specific robot can be generated,
thanks to the facilities available for \dsls. This approach allows the users to
deal only with the high level description of their robot and relieves them from
problematic hand-crafted development; resources and efforts can then be focused
on open research questions.
  Preliminary results about the generation of efficient code for inverse
dynamics will be presented as a proof of concept of this approach.
","Marco Frigerio|Jonas Buchli|Darwin G. Caldwell","","http://arxiv.org/abs/1301.7190v1","http://arxiv.org/pdf/1301.7190v1","","Presented at DSLRob 2011 (arXiv:1212.3308)","","","cs.RO","cs.RO|cs.PL"
"52","1302.0446v1","2013-02-03 02:40:29","2013-02-03 02:40:29","Sparse Camera Network for Visual Surveillance -- A Comprehensive Survey","  Technological advances in sensor manufacture, communication, and computing
are stimulating the development of new applications that are transforming
traditional vision systems into pervasive intelligent camera networks. The
analysis of visual cues in multi-camera networks enables a wide range of
applications, from smart home and office automation to large area surveillance
and traffic surveillance. While dense camera networks - in which most cameras
have large overlapping fields of view - are well studied, we are mainly
concerned with sparse camera networks. A sparse camera network undertakes large
area surveillance using as few cameras as possible, and most cameras have
non-overlapping fields of view with one another. The task is challenging due to
the lack of knowledge about the topological structure of the network,
variations in the appearance and motion of specific tracking targets in
different views, and the difficulties of understanding composite events in the
network. In this review paper, we present a comprehensive survey of recent
research results to address the problems of intra-camera tracking, topological
structure learning, target appearance modeling, and global activity
understanding in sparse camera networks. A number of current open research
issues are discussed.
","Mingli Song|Dachent Tao|Stephen J. Maybank","","http://arxiv.org/abs/1302.0446v1","http://arxiv.org/pdf/1302.0446v1","","41 pages, 5 figures, journal submission","","","cs.CV","cs.CV"
"53","1303.5234v3","2013-03-21 11:53:37","2014-03-16 22:30:10","How to perform research in Hadoop environment not losing mental
  equilibrium - case study","  Conducting a research in an efficient, repetitive, evaluable, but also
convenient (in terms of development) way has always been a challenge. To
satisfy those requirements in a long term and simultaneously minimize costs of
the software engineering process, one has to follow a certain set of
guidelines. This article describes such guidelines based on the research
environment called Content Analysis System (CoAnSys) created in the Center for
Open Science (CeON). Best practices and tools for working in the Apache Hadoop
environment, as well as the process of establishing these rules are portrayed.
","Piotr Jan Dendek|Artur Czeczko|Mateusz Fedoryszak|Adam Kawa|Piotr Wendykier|Lukasz Bolikowski","","http://arxiv.org/abs/1303.5234v3","http://arxiv.org/pdf/1303.5234v3","","This paper (with changed content) appeared under the title ""Chrum:
  The Tool for Convenient Generation of Apache Oozie Workflows"" in ""Intelligent
  Tools for Building a Scientific Information Platform: From Research to
  Implementation"", ""Studies in Computational Intelligence"", Volume 541, 2014,
  http://link.springer.com/book/10.1007/978-3-319-04714-0","","","cs.SE","cs.SE|cs.DC|H.3.7"
"54","1304.2031v1","2013-04-07 17:43:26","2013-04-07 17:43:26","Temporal Analysis of Activity Patterns of Editors in Collaborative
  Mapping Project of OpenStreetMap","  In the recent years Wikis have become an attractive platform for social
studies of the human behaviour. Containing millions records of edits across the
globe, collaborative systems such as Wikipedia have allowed researchers to gain
a better understanding of editors participation and their activity patterns.
However, contributions made to Geo-wikis_wiki-based collaborative mapping
projects_ differ from systems such as Wikipedia in a fundamental way due to
spatial dimension of the content that limits the contributors to a set of those
who posses local knowledge about a specific area and therefore cross-platform
studies and comparisons are required to build a comprehensive image of online
open collaboration phenomena. In this work, we study the temporal behavioural
pattern of OpenStreetMap editors, a successful example of geo-wiki, for two
European capital cities. We categorise different type of temporal patterns and
report on the historical trend within a period of 7 years of the project age.
We also draw a comparison with the previously observed editing activity
patterns of Wikipedia.
","Taha Yasseri|Giovanni Quattrone|Afra Mashhadi","","http://arxiv.org/abs/1304.2031v1","http://arxiv.org/pdf/1304.2031v1","","Submitted","","","cs.CY","cs.CY|cs.HC|cs.SI|physics.data-an|physics.soc-ph"
"55","1304.5545v1","2013-04-19 21:00:37","2013-04-19 21:00:37","Designing Electronic Markets for Defeasible-based Contractual Agents","  The design of punishment policies applied to specific domains linking agents
actions to material penalties is an open research issue. The proposed framework
applies principles of contract law to set penalties: expectation damages,
opportunity cost, reliance damages, and party design remedies. In order to
decide which remedy provides maximum welfare within an electronic market, a
simulation environment called DEMCA (Designing Electronic Markets for
Contractual Agents) was developed. Knowledge representation and the reasoning
capabilities of the agents are based on an extended version of temporal
defeasible logic.
","Adrian Groza","","http://arxiv.org/abs/1304.5545v1","http://arxiv.org/pdf/1304.5545v1","","LAF Workshop 2008","","","cs.MA","cs.MA"
"56","1305.3532v1","2013-05-15 16:18:24","2013-05-15 16:18:24","Temporal networks of face-to-face human interactions","  The ever increasing adoption of mobile technologies and ubiquitous services
allows to sense human behavior at unprecedented levels of details and scale.
Wearable sensors are opening up a new window on human mobility and proximity at
the finest resolution of face-to-face proximity. As a consequence, empirical
data describing social and behavioral networks are acquiring a longitudinal
dimension that brings forth new challenges for analysis and modeling. Here we
review recent work on the representation and analysis of temporal networks of
face-to-face human proximity, based on large-scale datasets collected in the
context of the SocioPatterns collaboration. We show that the raw behavioral
data can be studied at various levels of coarse-graining, which turn out to be
complementary to one another, with each level exposing different features of
the underlying system. We briefly review a generative model of temporal contact
networks that reproduces some statistical observables. Then, we shift our focus
from surface statistical features to dynamical processes on empirical temporal
networks. We discuss how simple dynamical processes can be used as probes to
expose important features of the interaction patterns, such as burstiness and
causal constraints. We show that simulating dynamical processes on empirical
temporal networks can unveil differences between datasets that would otherwise
look statistically similar. Moreover, we argue that, due to the temporal
heterogeneity of human dynamics, in order to investigate the temporal
properties of spreading processes it may be necessary to abandon the notion of
wall-clock time in favour of an intrinsic notion of time for each individual
node, defined in terms of its activity level. We conclude highlighting several
open research questions raised by the nature of the data at hand.
","Alain Barrat|Ciro Cattuto","","http://arxiv.org/abs/1305.3532v1","http://arxiv.org/pdf/1305.3532v1","http://dx.doi.org/10.1007/978-3-642-36461-7_10","Chapter of the book ""Temporal Networks"", Springer, 2013. Series:
  Understanding Complex Systems. Holme, Petter; Saram\""aki, Jari (Eds.)","","10.1007/978-3-642-36461-7_10","physics.soc-ph","physics.soc-ph|cs.SI"
"57","1306.3543v2","2013-06-15 03:19:51","2013-06-18 15:58:27","The Open Connectome Project Data Cluster: Scalable Analysis and Vision
  for High-Throughput Neuroscience","  We describe a scalable database cluster for the spatial analysis and
annotation of high-throughput brain imaging data, initially for 3-d electron
microscopy image stacks, but for time-series and multi-channel data as well.
The system was designed primarily for workloads that build connectomes---neural
connectivity maps of the brain---using the parallel execution of computer
vision algorithms on high-performance compute clusters. These services and
open-science data sets are publicly available at http://openconnecto.me.
  The system design inherits much from NoSQL scale-out and data-intensive
computing architectures. We distribute data to cluster nodes by partitioning a
spatial index. We direct I/O to different systems---reads to parallel disk
arrays and writes to solid-state storage---to avoid I/O interference and
maximize throughput. All programming interfaces are RESTful Web services, which
are simple and stateless, improving scalability and usability. We include a
performance evaluation of the production system, highlighting the effectiveness
of spatial data organization.
","Randal Burns|William Gray Roncal|Dean Kleissas|Kunal Lillaney|Priya Manavalan|Eric Perlman|Daniel R. Berger|Davi D. Bock|Kwanghun Chung|Logan Grosenick|Narayanan Kasthuri|Nicholas C. Weiler|Karl Deisseroth|Michael Kazhdan|Jeff Lichtman|R. Clay Reid|Stephen J. Smith|Alexander S. Szalay|Joshua T. Vogelstein|R. Jacob Vogelstein","","http://arxiv.org/abs/1306.3543v2","http://arxiv.org/pdf/1306.3543v2","","11 pages, 13 figures","","","cs.DC","cs.DC|cs.CE|q-bio.NC"
"58","1308.0843v2","2013-08-04 19:30:19","2013-10-02 00:17:49","Snowmass Energy Frontier Simulations using the Open Science Grid (A
  Snowmass 2013 whitepaper)","  Snowmass is a US long-term planning study for the high-energy community by
the American Physical Society's Division of Particles and Fields. For its
simulation studies, opportunistic resources are harnessed using the Open
Science Grid infrastructure. Late binding grid technology, GlideinWMS, was used
for distributed scheduling of the simulation jobs across many sites mainly in
the US. The pilot infrastructure also uses the Parrot mechanism to dynamically
access CvmFS in order to ascertain a homogeneous environment across the nodes.
This report presents the resource usage and the storage model used for
simulating large statistics Standard Model backgrounds needed for Snowmass
Energy Frontier studies.
","A. Avetisyan|S. Bhattacharya|M. Narain|S. Padhi|J. Hirschauer|T. Levshina|P. McBride|C. Sehgal|M. Slyz|M. Rynge|S. Malik|J. Stupak III","Boston University, Boston, USA|Brown University, Providence, USA|Brown University, Providence, USA|University of California, San Diego, USA|Fermi National Accelerator Lab, Batavia, USA|Fermi National Accelerator Lab, Batavia, USA|Fermi National Accelerator Lab, Batavia, USA|Fermi National Accelerator Lab, Batavia, USA|Fermi National Accelerator Lab, Batavia, USA|Information Sciences Institute, Marina del Rey, USA|University of Nebraska, Lincoln, USA|Purdue University Calumet, Hammond, USA","http://arxiv.org/abs/1308.0843v2","http://arxiv.org/pdf/1308.0843v2","","","","","hep-ex","hep-ex|cs.DC"
"59","1308.1168v1","2013-08-06 03:13:36","2013-08-06 03:13:36","Role and Discipline Relationships in a Transdisciplinary Biomedical
  Team: Structuration, Values Override and Context Scaffolding","  Though accepted that ""team science"" is needed to tackle and conquer the
health problems that are plaguing our society significant empirical evidence of
team mechanisms and functional dynamics is still lacking in abundance. Through
grounded methods the relationship between scientific disciplines and team roles
was observed in a United States National Institutes of Health-funded (NIH)
research consortium. Interviews and the Organizational Culture Assessment
Instrument (OCAI) were employed.. Findings show strong role and discipline
idiosyncrasies that when viewed separately provide different insights into team
functioning and change receptivity. When considered simultaneously,
value-latent characteristics emerged showing self-perceived contributions to
the team. This micro/meso analysis suggests that individual participation in
team level interactions can inform the structuration of roles and disciplines
in an attempt to tackle macro level problems.
","Gaetano R. Lotrecchiano","","http://arxiv.org/abs/1308.1168v1","http://arxiv.org/pdf/1308.1168v1","","Presented at COINs13 Conference, Chile, 2013 (arxiv:1308.1028)","","","cs.CY","cs.CY|cs.SI|physics.soc-ph"
